"poi_id","valine_kood","kat_id","x","y"
1232803,"JKK0900156",2208,664254,6475926
1233033,"JKK0900165",2208,538055,6591283
1232825,"JKK0900178",2208,483705,6535109
1232772,"JKK0900193",2208,529392,6566939
1233215,"JKK0900196",3102,533524,6584040
1233212,"JKK0900224",3102,539565,6547157
1233170,"JKK0900226",2208,536666,6575852
1233058,"JKK0900253",2208,682291,6411294
1232790,"JKK0900258",2208,554064,6591161
1232840,"JKK0900268",2208,626526,6602155
1233116,"JKK0900270",2208,549887,6581028
1233157,"JKK0900274",2207,551483,6587962
1233206,"JKK3700001",3102,540964,6584353
1232680,"JKK3700003",2208,504389,6578005
1232942,"JKK3700004",2208,548703,6587045
1232710,"JKK3700005",2208,552349,6585348
1191761,"JKK3700006",2208,540024,6591504
1191681,"JKK3700009",3102,550234,6588050
1232704,"JKK3700012",2208,550325,6588695
1232959,"JKK3700013",2208,504691,6577680
1233140,"JKK3700014",2208,554264,6594835
1233011,"JKK3700015",2208,556535,6591810
1232939,"JKK3700018",2208,550146,6589538
1232920,"JKK3700020",2208,540310,6590976
1191566,"JKK3700025",3102,525260,6582626
1232904,"JKK3700027",2208,549576,6586830
1191750,"JKK3700030",2208,546889,6587207
1191559,"JKK3700037",2208,552321,6585465
1232912,"JKK3700046",2208,546249,6587434
1232875,"JKK3700050",2208,551132,6577164
1232914,"JKK3700053",2208,549877,6587985
1191878,"JKK3700054",2208,548587,6587534
1191573,"JKK3700055",2208,504965,6577524
1191853,"JKK3700064",2208,526868,6576688
1232673,"JKK3700065",2208,546160,6587323
1232913,"JKK3700082",2208,548950,6586869
1185051,"JKK3700083",2207,558050,6560550
1233030,"JKK3700085",2208,548785,6586964
1233132,"JKK3700087",2208,513815,6548833
1232922,"JKK3700089",2208,539796,6592248
1233211,"JKK3700090",3102,532590,6575773
1232921,"JKK3700094",2208,540424,6591131
1232986,"JKK3700095",2208,552886,6580396
1191817,"JKK3700096",2208,549469,6588214
347211,"JKK3700097",2207,539026,6591530
1185048,"JKK3700099",2207,560998,6593482
1191743,"JKK3700100",2208,553974,6590940
1232675,"JKK3700103",2208,549670,6587791
1219140,"JKK3700106",3102,523349,6575252
1233028,"JKK3700107",2208,527236,6554382
1191728,"JKK3700109",3102,548277,6587621
1233038,"JKK3700110",2208,556097,6591844
1219109,"JKK3700113",2208,553944,6591072
1191553,"JKK3700115",2208,579613,6591119
1191805,"JKK3700121",3102,528120,6580606
1232674,"JKK3700125",2208,546426,6586904
1233105,"JKK3700136",2208,523330,6583779
1240200,"JKK3700137",2606,576094,6578882
1232851,"JKK3700138",2208,576084,6579427
1233069,"JKK3700140",2208,521288,6577493
1233147,"JKK3700145",2208,563216,6563219
1218988,"JKK3700146",2208,566454,6562054
1219066,"JKK3700159",2208,553236,6590812
1191726,"JKK3700165",2208,504147,6578465
1232709,"JKK3700173",2208,552804,6585322
1191655,"JKK3700176",2208,554447,6585145
1232956,"JKK3700185",2208,540156,6576205
1232773,"JKK3700188",2208,529352,6566955
1191635,"JKK3700192",2208,547139,6590267
1218964,"JKK3700197",2208,550227,6588125
1191754,"JKK3700198",2208,548800,6587840
1232973,"JKK3700199",2208,549977,6587107
1191706,"JKK3700203",2208,539101,6586550
1191740,"JKK3700204",2208,537879,6586521
1191886,"JKK3700205",2208,537308,6591974
1191581,"JKK3700206",2208,540810,6590030
1232753,"JKK3700208",2208,540570,6581137
1232754,"JKK3700209",2208,540606,6581508
1191700,"JKK3700211",2208,539198,6587481
1191564,"JKK3700220",2208,547134,6587882
1232940,"JKK3700221",2208,548517,6588781
1232915,"JKK3700223",2208,551120,6593441
1232944,"JKK3700225",2208,540566,6584222
1232941,"JKK3700231",2208,548696,6587045
1218924,"JKK3700232",2208,548713,6587043
1191499,"JKK3700236",2208,548759,6586882
1191528,"JKK3700244",2208,539294,6584517
1232907,"JKK3700246",2208,542305,6587746
1183965,"JKK3700248",2606,551301,6589219
1232909,"JKK3700249",2208,540735,6584821
1232935,"JKK3700254",2208,545904,6587145
1232938,"JKK3700256",2208,547497,6587570
1191737,"JKK3700257",2208,547493,6587581
1219061,"JKK3700258",2208,547500,6587573
1232919,"JKK3700259",2208,540851,6590219
1232934,"JKK3700264",2208,546427,6586899
1233217,"JKK3700265",3102,535580,6578983
1191818,"JKK3700266",3102,536169,6583054
1232727,"JKK3700267",2208,556602,6591825
1233094,"JKK3700273",2208,532311,6584609
1191508,"JKK3700274",2208,539515,6591234
1232908,"JKK3700276",2208,539013,6586905
1232916,"JKK3700277",2208,546847,6591906
1232945,"JKK3700278",2208,540478,6584163
1233136,"JKK3700279",2208,534075,6588855
1232905,"JKK3700280",2208,542158,6586755
1232906,"JKK3700281",2208,544269,6588506
1232936,"JKK3700282",2208,546652,6589009
1232937,"JKK3700283",2208,549621,6589849
1232676,"JKK3700284",2208,538484,6584607
1232946,"JKK3700285",2208,536763,6581173
1232910,"JKK3700286",2208,540255,6585115
1232950,"JKK3700287",2208,536695,6587056
1232749,"JKK3700288",2208,549914,6588006
1191777,"JKK3700290",2208,556536,6591812
1191874,"JKK3700295",2208,539755,6590991
1232751,"JKK3700296",2208,549515,6587935
1232911,"JKK3700297",2208,539212,6586850
1218963,"JKK3700304",2208,540016,6591620
1232778,"JKK3700306",2208,524685,6575272
1191586,"JKK3700310",2208,549097,6587043
1233010,"JKK3700311",2208,556131,6591843
1218900,"JKK3700315",2208,547445,6587670
1191755,"JKK3700317",3102,511894,6566479
1219125,"JKK3700322",2208,556140,6591833
